id,ep,pic,num,belong,name,gender,birth,address,job,level,career,wealth,military,tax_total,tax_5y,tax_defalt,crim_cnt,candi_cnt,detail_url,gong_url
901,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100136247/gicho/thumbnail.100136247.JPG,7,국가혁명배당금당,"김주완
(金柱完)",남,"1979.09.01
(40세)",전라북도 전주시 완산구 거마평로,정당인,미기재,(현)국가혁명배당금당 전북도당 사무처장,30000,군복무를 마친사람,79,0,0,3건,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100136247,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136247#none
902,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100134744/gicho/thumbnail.100134744.JPG,8,무소속,"성치두
(成治斗)",남,"1976.03.24
(44세)",전라북도 전주시 완산구 전룡로,정치인,한국외국어대학교 대학원 정치외교학과 박사과정 수료,(전) 20대 국회의원선거 후보,200000,군복무를 마친사람,3799,0,0,없음,1회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100134744,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134744#none
903,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100134745/gicho/thumbnail.100134745.JPG,9,무소속,"최형재
(崔炯宰)",남,"1963.07.26
(56세)",전라북도 전주시 완산구 호암로,정치인,전북대학교 행정대학원 졸업(정치학 석사),"(전)20대 총선 더불어민주당 전주시을 후보
(전)더불어민주당 전주시을 지역위원장",502390,군복무를 마친사람,7955,0,0,없음,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100134745,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134745#none
904,전주시병,http://info.nec.go.kr/photo_20200415/Gsg4502/Hb100135939/gicho/thumbnail.100135939.JPG,1,더불어민주당,"김성주
(金成柱)",남,"1964.04.10
(56세)",전라북도 전주시 덕진구 태진로,정당인,서울대학교 인문대학 국사학과 졸업,"(전)국민연금공단 이사장
(전)제19대 국회의원",920178,군복무를 마치지 아니한 사람,62151,0,0,2건,5회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135939,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135939#none
905,전주시병,http://info.nec.go.kr/photo_20200415/Gsg4502/Hb100137342/gicho/thumbnail.100137342.JPG,3,민생당,"정동영
(鄭東泳)",남,"1953.06.17
(66세)",전라북도 전주시 덕진구 세병로,국회의원,서울대학교 인문대학 국사학과(부전공 : 정치학)졸업,"(전) 제17대 대통령 후보
(전) 제31대 통일부 장관(국가안전보장회의(NSC) 상임위원장)",1647042,군복무를 마친사람,39024,588,0,없음,9회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137342,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137342#none
906,전주시병,http://info.nec.go.kr/photo_20200415/Gsg4502/Hb100135594/gicho/thumbnail.100135594.JPG,7,국가혁명배당금당,"최복기
(崔福基)",남,"1951.02.23
(69세)",전라북도 전주시 덕진구 권삼득로,자영업,미기재,"(전) 경찰공무원
(현) 국가혁명배당금당 전북도당 수석부위원장",873175,군복무를 마친사람,4155,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135594,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135594#none
907,군산시,http://info.nec.go.kr/photo_20200415/Gsg4503/Hb100134930/gicho/thumbnail.100134930.JPG,1,더불어민주당,"신영대
(申榮大)",남,"1968.01.15
(52세)",전라북도 군산시 공단대로,정당인,전북대학교 대학원 경영학과 박사과정 수료,"(전)노무현 대통령비서실 청와대 행정관
(현)대통령직속 국가균형발전위원회 전문위원",234103,군복무를 마친사람,27171,0,0,2건,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100134930,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134930#none
908,군산시,http://info.nec.go.kr/photo_20200415/Gsg4503/Hb100137880/gicho/thumbnail.100137880.JPG,2,미래통합당,"이근열
(李根烈)",남,"1974.04.05
(46세)",전라북도 군산시 해망로,국제써밋마약치유센터협회 중앙 부회장,원광대학교 철학과 3년 중퇴(1994.03.~2003.03.),"(전)제7회 지방선거 군산시장 후보
(현)국제써밋마약치유센터협회 중앙 부회장",759567,군복무를 마친사람,1411,9780,9780,2건,1회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137880,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137880#none
909,군산시,http://info.nec.go.kr/photo_20200415/Gsg4503/Hb100135839/gicho/thumbnail.100135839.JPEG,7,국가혁명배당금당,"최순정
(崔順丁)",여,"1949.05.18
(70세)",전라북도 군산시 대학로,약사,원광대학교 약학대학 약학과 졸업,(현)태광약국 운영,-7285,해당없음(비대상),248,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135839,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135839#none
910,군산시,http://info.nec.go.kr/photo_20200415/Gsg4503/Hb100136969/gicho/thumbnail.100136969.JPG,8,무소속,"김관영
(金寬永)",남,"1969.11.15
(50세)",전라북도 군산시 수송동로,국회의원,서울대학교 행정대학원 졸업,"(전)바른미래당 원내대표
(현)국회의원(제19대,제20대)",2013939,군복무를 마친사람,52020,0,0,없음,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100136969,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136969#none
