산격4동,산격4동
복현1동,복현1동
복현2동,복현2동
대현동,대현동
검단동,검단동
무태조야동,무태조야동
관문동,관문동
태전1동,태전1동
태전2동,태전2동
구암동,구암동
관음동,관음동
읍내동,읍내동
동천동,동천동
국우동,국우동
범어1동,범어1동
범어2동,범어2동
범어3동,범어3동
범어4동,범어4동
만촌1동,만촌1동
만촌2동,만촌2동
만촌3동,만촌3동
황금1동,황금1동
황금2동,황금2동
고산1동,고산1동
고산2동,고산2동
고산3동,고산3동
수성1가동,수성1가동
수성2·3가동,수성2·3가동
수성4가동,수성4가동
중동,중동
상동,상동
파동,파동
두산동,두산동
지산1동,지산1동
지산2동,지산2동
범물1동,범물1동
범물2동,범물2동
죽전동,죽전동
장기동,장기동
용산1동,용산1동
용산2동,용산2동
이곡1동,이곡1동
이곡2동,이곡2동
신당동,신당동
월성1동,월성1동
월성2동,월성2동
진천동,진천동
상인1동,상인1동
상인2동,상인2동
상인3동,상인3동
도원동,도원동
성당동,성당동
두류1·2동,두류1·2동
두류3동,두류3동
본리동,본리동
감삼동,감삼동
송현1동,송현1동
송현2동,송현2동
본동,본동
화원읍,화원읍
논공읍,논공읍
다사읍,다사읍
유가읍,유가읍
옥포읍,옥포읍
현풍읍,현풍읍
가창면,가창면
하빈면,하빈면
구지면,구지면
신포동,신포동
연안동,연안동
신흥동,신흥동
도원동,도원동
율목동,율목동
동인천동,동인천동
북성동,북성동
송월동,송월동
영종동,영종동
영종1동,영종1동
운서동,운서동
용유동,용유동
북도면,북도면
연평면,연평면
백령면,백령면
대청면,대청면
덕적면,덕적면
자월면,자월면
영흥면,영흥면
강화읍,강화읍
선원면,선원면
불은면,불은면
길상면,길상면
화도면,화도면
양도면,양도면
내가면,내가면
하점면,하점면
양사면,양사면
송해면,송해면
교동면,교동면
삼산면,삼산면
서도면,서도면
도화1동,도화1동
도화2·3동,도화2·3동
주안1동,주안1동
주안2동,주안2동
주안3동,주안3동
주안4동,주안4동
주안5동,주안5동
주안6동,주안6동
주안7동,주안7동
주안8동,주안8동
만석동,만석동
화수1·화평동,화수1·화평동
화수2동,화수2동
송현1·2동,송현1·2동
송현3동,송현3동
송림1동,송림1동
송림2동,송림2동
송림3·5동,송림3·5동
송림4동,송림4동
송림6동,송림6동
금창동,금창동
숭의1·3동,숭의1·3동
숭의2동,숭의2동
숭의4동,숭의4동
용현1·4동,용현1·4동
용현2동,용현2동
용현3동,용현3동
용현5동,용현5동
학익1동,학익1동
학익2동,학익2동
관교동,관교동
문학동,문학동
옥련2동,옥련2동
선학동,선학동
연수1동,연수1동
연수2동,연수2동
연수3동,연수3동
청학동,청학동
동춘3동,동춘3동
옥련1동,옥련1동
동춘1동,동춘1동
동춘2동,동춘2동
송도1동,송도1동
송도2동,송도2동
송도3동,송도3동
송도4동,송도4동
구월1동,구월1동
구월3동,구월3동
구월4동,구월4동
간석1동,간석1동
간석4동,간석4동
남촌도림동,남촌도림동
논현1동,논현1동
논현2동,논현2동
논현고잔동,논현고잔동
구월2동,구월2동
간석2동,간석2동
간석3동,간석3동
만수1동,만수1동
만수2동,만수2동
만수3동,만수3동
만수4동,만수4동
만수5동,만수5동
만수6동,만수6동
장수서창동,장수서창동
서창2동,서창2동
부평1동,부평1동
부평2동,부평2동
부평3동,부평3동
부평4동,부평4동
부평5동,부평5동
부평6동,부평6동
산곡3동,산곡3동
산곡4동,산곡4동
부개1동,부개1동
일신동,일신동
십정1동,십정1동
십정2동,십정2동
산곡1동,산곡1동
산곡2동,산곡2동
청천1동,청천1동
청천2동,청천2동
갈산1동,갈산1동
갈산2동,갈산2동
삼산1동,삼산1동
삼산2동,삼산2동
부개2동,부개2동
부개3동,부개3동
효성1동,효성1동
효성2동,효성2동
작전1동,작전1동
작전2동,작전2동
작전서운동,작전서운동
계산1동,계산1동
계산2동,계산2동
계산3동,계산3동
계산4동,계산4동
계양1동,계양1동
계양2동,계양2동
계양3동,계양3동
청라1동,청라1동
청라2동,청라2동
가정1동,가정1동
가정2동,가정2동
가정3동,가정3동
신현원창동,신현원창동
석남1동,석남1동
석남2동,석남2동
석남3동,석남3동
가좌1동,가좌1동
가좌2동,가좌2동
가좌3동,가좌3동
가좌4동,가좌4동
검암경서동,검암경서동
연희동,연희동
청라3동,청라3동
검단동,검단동
불로대곡동,불로대곡동
원당동,원당동
당하동,당하동
오류왕길동,오류왕길동
마전동,마전동
봉선1동,봉선1동
봉선2동,봉선2동
월산동,월산동
월산4동,월산4동
월산5동,월산5동
주월1동,주월1동
주월2동,주월2동
효덕동,효덕동
송암동,송암동
대촌동,대촌동
충장동,충장동
동명동,동명동
계림1동,계림1동
계림2동,계림2동
산수1동,산수1동
산수2동,산수2동
지산1동,지산1동
지산2동,지산2동
서남동,서남동
학동,학동
학운동,학운동
지원1동,지원1동
지원2동,지원2동
양림동(남구),양림동(남구)
방림1동(남구),방림1동(남구)
방림2동(남구),방림2동(남구)
사직동(남구),사직동(남구)
백운1동(남구),백운1동(남구)
백운2동(남구),백운2동(남구)
양동,양동
양3동,양3동
농성1동,농성1동
농성2동,농성2동
광천동,광천동
유덕동,유덕동
치평동,치평동
상무1동,상무1동
화정1동,화정1동
화정2동,화정2동
동천동,동천동
상무2동,상무2동
화정3동,화정3동
화정4동,화정4동
서창동,서창동
금호1동,금호1동
금호2동,금호2동
풍암동,풍암동
중흥1동,중흥1동
중흥2동,중흥2동
중흥3동,중흥3동
중앙동,중앙동
임동,임동
신안동,신안동
우산동,우산동
풍향동,풍향동
문화동,문화동
문흥1동,문흥1동
문흥2동,문흥2동
두암1동,두암1동
두암2동,두암2동
두암3동,두암3동
오치1동,오치1동
오치2동,오치2동
석곡동,석곡동
용봉동,용봉동
운암1동,운암1동
운암2동,운암2동
운암3동,운암3동
동림동,동림동
삼각동,삼각동
일곡동,일곡동
매곡동,매곡동
건국동,건국동
양산동,양산동
송정1동,송정1동
송정2동,송정2동
도산동,도산동
신흥동,신흥동
어룡동,어룡동
우산동,우산동
월곡1동,월곡1동
월곡2동,월곡2동
운남동,운남동
동곡동,동곡동
평동,평동
삼도동,삼도동
본량동,본량동
비아동,비아동
첨단1동,첨단1동
첨단2동,첨단2동
신가동,신가동
신창동,신창동
수완동,수완동
하남동,하남동
임곡동,임곡동
중앙동,중앙동
신인동,신인동
효동,효동
판암1동,판암1동
판암2동,판암2동
용운동,용운동
대동,대동
자양동,자양동
가양1동,가양1동
가양2동,가양2동
용전동,용전동
성남동,성남동
홍도동,홍도동
삼성동,삼성동
대청동,대청동
산내동,산내동
은행선화동,은행선화동
목동,목동
중촌동,중촌동
대흥동,대흥동
문창동,문창동
석교동,석교동
대사동,대사동
부사동,부사동
용두동,용두동
오류동,오류동
태평1동,태평1동
태평2동,태평2동
유천1동,유천1동
유천2동,유천2동
문화1동,문화1동
문화2동,문화2동
산성동,산성동
복수동,복수동
도마1동,도마1동
도마2동,도마2동
정림동,정림동
변동,변동
괴정동,괴정동
가장동,가장동
내동,내동
가수원동,가수원동
관저1동,관저1동
관저2동,관저2동
기성동,기성동
용문동,용문동
탄방동,탄방동
둔산1동,둔산1동
둔산2동,둔산2동
둔산3동,둔산3동
갈마1동,갈마1동
갈마2동,갈마2동
월평1동,월평1동
월평2동,월평2동
월평3동,월평3동
만년동,만년동
진잠동,진잠동
원신흥동,원신흥동
온천1동,온천1동
온천2동,온천2동
노은1동,노은1동
노은2동,노은2동
노은3동,노은3동
신성동,신성동
전민동,전민동
구즉동,구즉동
관평동,관평동
오정동,오정동
대화동,대화동
회덕동,회덕동
비래동,비래동
송촌동,송촌동
중리동,중리동
법1동,법1동
법2동,법2동
신탄진동,신탄진동
석봉동,석봉동
덕암동,덕암동
목상동,목상동
학성동,학성동
반구1동,반구1동
반구2동,반구2동
복산1동,복산1동
복산2동,복산2동
성안동,성안동
중앙동,중앙동
우정동,우정동
태화동,태화동
다운동,다운동
병영1동,병영1동
병영2동,병영2동
약사동,약사동
신정1동,신정1동
신정2동,신정2동
신정3동,신정3동
신정4동,신정4동
신정5동,신정5동
삼호동,삼호동
무거동,무거동
옥동,옥동
달동,달동
삼산동,삼산동
야음장생포동,야음장생포동
대현동,대현동
수암동,수암동
선암동,선암동
방어동,방어동
일산동,일산동
화정동,화정동
대송동,대송동
전하1동,전하1동
전하2동,전하2동
남목1동,남목1동
남목2동,남목2동
남목3동,남목3동
농소1동,농소1동
농소2동,농소2동
농소3동,농소3동
강동동,강동동
효문동,효문동
송정동,송정동
양정동,양정동
염포동,염포동
범서읍,범서읍
온산읍,온산읍
언양읍,언양읍
온양읍,온양읍
청량읍,청량읍
서생면,서생면
웅촌면,웅촌면
두동면,두동면
두서면,두서면
상북면,상북면
삼남면,삼남면
삼동면,삼동면
부강면,부강면
금남면,금남면
장군면,장군면
한솔동,한솔동
도담동,도담동
보람동,보람동
새롬동,새롬동
대평동,대평동
소담동,소담동
조치원읍,조치원읍
연기면,연기면
연동면,연동면
연서면,연서면
전의면,전의면
전동면,전동면
소정면,소정면
아름동,아름동
종촌동,종촌동
고운동,고운동
파장동,파장동
정자1동,정자1동
정자2동,정자2동
정자3동,정자3동
영화동,영화동
송죽동,송죽동
조원1동,조원1동
조원2동,조원2동
연무동,연무동
평동,평동
서둔동,서둔동
구운동,구운동
금곡동,금곡동
호매실동,호매실동
입북동,입북동
율천동(수원시장안구),율천동(수원시장안구)
행궁동,행궁동
매교동,매교동
매산동,매산동
고등동,고등동
화서1동,화서1동
화서2동,화서2동
지동,지동
우만1동,우만1동
우만2동,우만2동
인계동,인계동
매탄1동,매탄1동
매탄2동,매탄2동
매탄3동,매탄3동
매탄4동,매탄4동
원천동,원천동
광교1동,광교1동
광교2동,광교2동
영통1동,영통1동
세류1동,세류1동
세류2동,세류2동
세류3동,세류3동
권선1동,권선1동
권선2동,권선2동
곡선동,곡선동
영통2동(수원시영통구),영통2동(수원시영통구)
영통3동(수원시영통구),영통3동(수원시영통구)
망포1동(수원시영통구),망포1동(수원시영통구)
망포2동(수원시영통구),망포2동(수원시영통구)
신흥1동,신흥1동
신흥2동,신흥2동
신흥3동,신흥3동
태평1동,태평1동
태평2동,태평2동
태평3동,태평3동
태평4동,태평4동
수진1동,수진1동
수진2동,수진2동
단대동,단대동
산성동,산성동
양지동,양지동
복정동,복정동
위례동,위례동
신촌동,신촌동
고등동,고등동
시흥동,시흥동
성남동,성남동
중앙동,중앙동
금광1동,금광1동
금광2동,금광2동
은행1동,은행1동
은행2동,은행2동
상대원1동,상대원1동
상대원2동,상대원2동
상대원3동,상대원3동
하대원동,하대원동
도촌동,도촌동
서현1동,서현1동
서현2동,서현2동
이매1동,이매1동
이매2동,이매2동
야탑1동,야탑1동
야탑2동,야탑2동
야탑3동,야탑3동
판교동,판교동
삼평동,삼평동
백현동,백현동
운중동,운중동
분당동,분당동
수내1동,수내1동
수내2동,수내2동
수내3동,수내3동
정자동,정자동
정자1동,정자1동
정자2동,정자2동
정자3동,정자3동
금곡동,금곡동
구미동,구미동
구미1동,구미1동
의정부1동,의정부1동
의정부2동,의정부2동
호원1동,호원1동
호원2동,호원2동
가능동,가능동
흥선동,흥선동
녹양동,녹양동
장암동,장암동
신곡1동,신곡1동
신곡2동,신곡2동
송산1동,송산1동
송산2동,송산2동
송산3동,송산3동
자금동,자금동
안양1동,안양1동
안양2동,안양2동
안양3동,안양3동
안양4동,안양4동
안양5동,안양5동
안양6동,안양6동
안양7동,안양7동
안양8동,안양8동
안양9동,안양9동
석수1동,석수1동
석수2동,석수2동
석수3동,석수3동
박달1동,박달1동
박달2동,박달2동
비산1동,비산1동
